#options: 640x480 fps=24/1 timebase=1/24 bitdepth=8 cabac=1 ref=1 deblock=1:0:0 analyse=0x1:0 me=dia subme=2 psy=1 psy_rd=1.00:0.00 mixed_ref=0 me_range=16 chroma_me=1 trellis=0 8x8dct=0 cqm=0 deadzone=21,11 fast_pskip=1 chroma_qp_offset=0 threads=6 lookahead_threads=2 sliced_threads=0 nr=0 decimate=1 interlaced=0 bluray_compat=0 constrained_intra=0 bframes=3 b_pyramid=2 b_adapt=1 b_bias=0 direct=1 weightb=1 open_gop=0 weightp=2 keyint=250 keyint_min=24 scenecut=40 intra_refresh=0 rc_lookahead=40 rc=abr mbtree=1 bitrate=1840 ratetol=1.0 qcomp=0.60 qpmin=0 qpmax=69 qpstep=4 ip_ratio=1.40 aq=1:1.00
in:128 out:128 type:B dur:2 cpbdur:2 q:0.00 aq:0.63 tex:25178 mv:1447 misc:807 imb:105 pmb:284 smb:811 d:- ref:0 ;
in:127 out:129 type:b dur:4 cpbdur:4 q:0.00 aq:1.10 tex:2442 mv:158 misc:480 imb:0 pmb:84 smb:1116 d:- ref:0 ;
in:129 out:130 type:b dur:4 cpbdur:4 q:0.00 aq:1.26 tex:8261 mv:752 misc:747 imb:30 pmb:220 smb:950 d:- ref:0 ;
in:134 out:131 type:P dur:4 cpbdur:4 q:0.00 aq:0.00 tex:73585 mv:1660 misc:763 imb:291 pmb:153 smb:756 d:- ref:0 ;
in:132 out:132 type:B dur:2 cpbdur:2 q:0.00 aq:1.25 tex:9463 mv:688 misc:713 imb:39 pmb:181 smb:980 d:- ref:0 ;
in:131 out:133 type:b dur:4 cpbdur:4 q:0.00 aq:1.29 tex:4558 mv:326 misc:668 imb:2 pmb:194 smb:1004 d:- ref:0 ;
in:133 out:134 type:b dur:4 cpbdur:4 q:0.00 aq:1.26 tex:4370 mv:498 misc:516 imb:30 pmb:77 smb:1093 d:- ref:0 ;
in:138 out:135 type:P dur:2 cpbdur:2 q:0.00 aq:0.00 tex:5286 mv:96 misc:642 imb:0 pmb:120 smb:1080 d:- ref:0 ;
in:136 out:136 type:B dur:4 cpbdur:4 q:0.00 aq:0.15 tex:2912 mv:141 misc:547 imb:0 pmb:83 smb:1117 d:- ref:0 ;
in:135 out:137 type:b dur:2 cpbdur:2 q:0.00 aq:1.00 tex:1666 mv:141 misc:417 imb:2 pmb:50 smb:1148 d:- ref:0 ;
in:137 out:138 type:b dur:4 cpbdur:4 q:0.00 aq:1.00 tex:1562 mv:76 misc:346 imb:2 pmb:33 smb:1165 d:- ref:0 ;
in:142 out:139 type:P dur:4 cpbdur:4 q:0.00 aq:0.00 tex:3619 mv:91 misc:562 imb:0 pmb:93 smb:1107 d:- ref:0 ;
in:140 out:140 type:B dur:6 cpbdur:6 q:0.00 aq:1.18 tex:953 mv:39 misc:336 imb:0 pmb:28 smb:1172 d:- ref:0 ;
in:139 out:141 type:b dur:2 cpbdur:2 q:0.00 aq:0.95 tex:1621 mv:63 misc:356 imb:2 pmb:36 smb:1162 d:- ref:0 ;
in:141 out:142 type:b dur:2 cpbdur:2 q:0.00 aq:1.00 tex:1504 mv:49 misc:335 imb:2 pmb:32 smb:1166 d:- ref:0 ;
in:146 out:143 type:P dur:4 cpbdur:4 q:0.00 aq:0.00 tex:7748 mv:130 misc:530 imb:3 pmb:90 smb:1107 d:- ref:0 ;
in:144 out:144 type:B dur:4 cpbdur:4 q:0.00 aq:1.24 tex:2565 mv:69 misc:326 imb:3 pmb:26 smb:1171 d:- ref:0 ;
in:143 out:145 type:b dur:2 cpbdur:2 q:0.00 aq:0.70 tex:1557 mv:61 misc:342 imb:2 pmb:34 smb:1164 d:- ref:0 ;
